"2MASSID		",Epoch(JD),RV(prim),RV(sec),Residuals
03441143+3219401,2456669.674,5.0201,41.6101,1.1025
03441143+3219401,2456673.564,31.5515,-6.646,0.0648
03441143+3219401,2456675.565,33.0411,-8.7418,0.3122
03441143+3219401,2456701.589,3.2915,44.5986,1.0927
03441143+3219401,2456703.59,32.5115,-8.0988,0.1734
03441143+3219401,2456706.602,0.4575,40.6531,3.3303
03452214+3202040,2456168.941,28.0415,0.7746,0.6379
03452214+3202040,2456170.899,29.2626,-3.1916,0.3107
03452214+3202040,2456171.976,26.3151,-1.3321,1.916
03452214+3202040,2456172.974,29.2011,2.6619,2.5918
03452214+3202040,2456174.926,28.4153,-0.3448,0.3954
03452214+3202040,2456235.774,30.5651,-3.6161,0.5993
03452214+3202040,2456262.683,27.2433,6.0281,2.6015
03452214+3202040,2456282.621(f),5.5464,30.769,3.6347
03452214+3202040,2456283.624,27.1189,-2.2498,1.6855
03452214+3202040,2456669.674,7.8098,34.2549,0.0791
03452214+3202040,2456673.564,7.321,38.6362,1.8694
03452214+3202040,2456675.565,8.5446,37.3306,2.2663
03452214+3202040,2456701.589,26.9586,-1.0997,1.2432
03452214+3202040,2456703.59,5.0895,34.2912,2.2506
03431992+3202412,2456168.941(f),-8.7866,49.1936,0.0224
03431992+3202412,2456170.899,18.3104,18.3104,1.527
03431992+3202412,2456171.976,-2.8749,45.3087,1.6454
03431992+3202412,2456172.974(f),-12.5338,48.5727,3.126
03431992+3202412,2456174.926,20.6645,20.6645,1.8009
03431992+3202412,2456235.774,-9.3226,48.6576,0.7354
03431992+3202412,2456262.683,17.6511,17.6511,2.459
03431992+3202412,2456282.621(f),-4.4921,46.4765,1.2736
03431992+3202412,2456283.624(f),15.5228,27.9942,3.1051
05321683-0548237,2456606.884,49.3142,-16.6937,0.1713
05321683-0548237,2456607.863,54.4406,-15.0157,5.197
05321683-0548237,2456626.816,28.2719,28.2363,1.3531
05321683-0548237,2456628.82,30.1138,32.95,2.23
05321683-0548237,2456629.829,30.9893,30.9893,2.2424
05321683-0548237,2456630.795(f),23.9588,37.0825,1.7415
05321683-0548237,2456635.791,52.1786,-31.1112,3.3511
05321683-0548237,2456636.786,28.8527,22.6925,3.0524
03405779+3118059,2456561.992,-44.4472,83.9243,0.3459
03405779+3118059,2456669.674,17.2912,19.7798,0.0911
03405779+3118059,2456673.564,-31.2336,70.9391,0.2605
03405779+3118059,2456675.565,72.5926,-38.6632,0.198
03405779+3118059,2456701.589,66.4429,-32.4936,0.3931
03405779+3118059,2456703.59,-15.8341,54.5757,0.1185
03405779+3118059,2456706.602,73.7111,-38.873,0.4669
03450783+3102335,2456561.992,-72.7302,-49.5117,0.6709
03450783+3102335,2456669.674,-47.9166,-76.9089,3.1987
03450783+3102335,2456673.564,-62.9353,-63.493,0.2915
03450783+3102335,2456675.565,-52.6927,-80.2921,2.6466
03450783+3102335,2456701.589,-48.6409,-78.8493,1.4286
03450783+3102335,2456703.59,-70.261,-55.0717,0.8317
03450783+3102335,2456706.602,-55.2189,-75.2806,1.5283
03485329+3132297,2456561.992,-13.249,64.6764,0.5001
03485329+3132297,2456669.674,11.9311,25.7975,0.4931
03485329+3132297,2456673.564,52.5147,-36.927,0.5156
03485329+3132297,2456675.565,25.5764,7.018,0.7548
03485329+3132297,2456701.589,-27.6512,87.4099,0.2345
03485329+3132297,2456703.59,21.5556,11.9206,0.0441
03485329+3132297,2456706.602,2.4425,43.0982,0.9444
03261467+3209453,2456236.727,68.4301,-87.4925,0.8728
03261467+3209453,2456315.639,-74.1397,72.5426,3.7723
03261467+3209453,2456561.814,35.5099,-59.8778,4.7632
03261467+3209453,2456563.999,49.7872,-71.0004,1.7424
03261467+3209453,2456607.821,-84.7318,76.819,1.153
03261467+3209453,2456671.555,-82.0098,72.9034,1.7891
03261467+3209453,2456674.559(f),67.4719,-80.6259,4.8026
03430073+3304482,2456561.992,-50.1326,75.2699,10.877
03430073+3304482,2456669.674,-71.6599,113.0007,9.5923
03430073+3304482,2456673.564,-52.5387,69.1465,5.8769
03430073+3304482,2456675.565,52.5272,-141.1769,0.1461
03430073+3304482,2456701.589(f),-88.351,78.8786,21.1692
03430073+3304482,2456703.59,-44.3192,49.7426,4.0202
03430073+3304482,2456706.602,-83.1993,94.9964,9.0511
03475033+3226225,2456561.992(f),22.3682,-4.3325,6.2008
03475033+3226225,2456669.674,17.9629,17.2702,2.4992
03475033+3226225,2456673.564(f),-1.3254,55.489,8.4484
03475033+3226225,2456675.565(f),18.3275,3.1715,5.241
03475033+3226225,2456701.589,8.4743,9.4166,9.774
03475033+3226225,2456703.59,64.8568,-49.0186,3.2205
03475033+3226225,2456706.602,62.3079,-38.6352,7.0477
06413207+1001049,2456204.998(f),75.9343,80.9706,0.0182
06413207+1001049,2456230.986(f),80.6585,155.2065,1.03
06413207+1001049,2456237.915(f),78.926,156.0867,0.7443
06413207+1001049,2456315.702(f),73.789,58.0809,0.9816
